pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,NMR,NMR_adult,migration_category,NMR_quartile,NMR_bin,area_type,is_anomaly
825318,2025,Jharkhand,Koderma,396,219,2,617,415,5582,5997,9.719611021069692,9.047001620745544,8.719611021069692,8.047001620745544,very_high_attraction,Q3,5-10,High,False
825319,2025,Jharkhand,Hazaribagh,239,119,0,358,372,3020,3392,9.474860335195531,8.435754189944134,8.474860335195531,7.435754189944134,very_high_attraction,Q2,5-10,Medium,False
825320,2025,Jharkhand,Giridih,419,372,1,792,567,5595,6162,7.78030303030303,7.0643939393939394,6.78030303030303,6.0643939393939394,very_high_attraction,Q2,5-10,High,False
825321,2025,Jharkhand,Chatra,374,272,1,647,584,5345,5929,9.163833075734155,8.261205564142195,8.163833075734157,7.261205564142195,very_high_attraction,Q2,5-10,High,False
825322,2025,Jharkhand,Giridih,371,237,0,608,795,7328,8123,13.360197368421051,12.052631578947368,12.360197368421051,11.052631578947368,extreme_attraction,Q3,10-20,High,False
825323,2025,Jharkhand,Hazaribagh,335,165,2,502,441,5662,6103,12.157370517928287,11.278884462151394,11.157370517928287,10.278884462151394,extreme_attraction,Q3,10-20,High,False
825324,2025,Jharkhand,Giridih,581,560,2,1143,804,8287,9091,7.953630796150481,7.2502187226596675,6.953630796150481,6.250218722659668,very_high_attraction,Q2,5-10,Very High,False
825325,2025,Jharkhand,Ramgarh,71,34,0,105,106,849,955,9.095238095238097,8.085714285714285,8.095238095238095,7.085714285714285,very_high_attraction,Q2,5-10,Medium,False
825329,2025,Jharkhand,Giridih,28,28,1,57,26,250,276,4.842105263157895,4.385964912280702,3.842105263157895,3.385964912280702,high_attraction,Q1,2-5,Low,False
825330,2025,Jharkhand,Ramgarh,78,53,0,131,94,992,1086,8.290076335877863,7.572519083969466,7.290076335877863,6.572519083969466,very_high_attraction,Q2,5-10,Medium,False
825336,2025,Jharkhand,Hazaribagh,62,26,1,89,102,723,825,9.269662921348315,8.123595505617978,8.269662921348315,7.123595505617978,very_high_attraction,Q2,5-10,Low,False
825401,2025,Jharkhand,Chatra,932,658,12,1602,1115,12198,13313,8.31023720349563,7.614232209737827,7.31023720349563,6.614232209737827,very_high_attraction,Q2,5-10,Very High,False
825402,2025,Jharkhand,Hazaribagh,245,91,0,336,470,4584,5054,15.041666666666666,13.642857142857142,14.041666666666666,12.642857142857142,extreme_attraction,Q4,10-20,Medium,False
825403,2025,Jharkhand,Chatra,323,298,3,624,333,3180,3513,5.6298076923076925,5.096153846153846,4.6298076923076925,4.096153846153846,high_attraction,Q1,2-5,High,False
825404,2025,Jharkhand,Chatra,435,601,2,1038,809,8886,9695,9.340077071290944,8.560693641618498,8.340077071290944,7.5606936416184976,very_high_attraction,Q2,5-10,Very High,False
825405,2025,Jharkhand,Hazaribag,313,161,1,475,342,4413,4755,10.010526315789471,9.290526315789474,9.010526315789471,8.290526315789474,very_high_attraction,Q3,5-10,Medium,False
